2015-01-30 12:09:10 Debug: Here: /voiq/users/logout, coming from: http://localhost/voiq/users/login
2015-01-30 12:09:10 Debug: Redirecting to: /voiq/users/login, initiated in  on line 
2015-01-30 12:10:03 Debug: Here: /voiq/users/logout, coming from: http://localhost/voiq/users/login
2015-01-30 12:10:03 Debug: Here: /voiq/users/login, coming from: http://localhost/voiq/users/login
2015-01-30 12:10:12 Debug: Here: /voiq/users/login, coming from: http://localhost/voiq/users/login
2015-01-30 12:10:12 Debug: Here: /voiq/users, coming from: http://localhost/voiq/users/login
2015-01-30 12:10:12 Debug: Here: /voiq/users/login, coming from: http://localhost/voiq/users/login
2015-01-30 12:12:03 Debug: Here: /voiq/users/login, coming from: http://localhost/voiq/users/login
2015-01-30 12:12:05 Debug: Here: /voiq/users/logout, coming from: http://localhost/voiq/users/login
2015-01-30 12:12:05 Debug: Here: /voiq/users/login, coming from: http://localhost/voiq/users/login
2015-01-30 12:12:13 Debug: Here: /voiq/users/login, coming from: http://localhost/voiq/users/login
2015-01-30 12:12:13 Debug: Here: /voiq/users, coming from: http://localhost/voiq/users/login
2015-01-30 12:12:13 Debug: Here: /voiq/users/login, coming from: http://localhost/voiq/users/login
2015-01-30 12:15:42 Debug: Here: /voiq/users/logout, coming from: http://localhost/voiq/users/login
2015-01-30 12:15:43 Debug: Here: /voiq/users/login, coming from: http://localhost/voiq/users/login
2015-01-30 12:15:43 Debug: Here: /voiq/users/login, coming from: http://localhost/voiq/users/login
2015-01-30 12:15:53 Debug: Here: /voiq/users/login, coming from: http://localhost/voiq/users/login
2015-01-30 12:15:59 Debug: Here: /voiq/users/login, coming from: http://localhost/voiq/users/login
2015-01-30 12:16:02 Debug: Here: /voiq/users/login, coming from: http://localhost/voiq/users/login
2015-01-30 12:16:09 Debug: Here: /voiq/users/login, coming from: http://localhost/voiq/users/login
2015-01-30 12:20:34 Debug: Here: /voiq/users/login, coming from: http://localhost/voiq/users/login
2015-01-30 12:20:41 Debug: Here: /voiq/users/login, coming from: http://localhost/voiq/users/login
2015-01-30 12:20:41 Debug: Here: /voiq/users, coming from: http://localhost/voiq/users/login
2015-01-30 12:20:41 Debug: Here: /voiq/users/login, coming from: http://localhost/voiq/users/login
2015-01-30 12:20:51 Debug: Here: /voiq/users/logout, coming from: http://localhost/voiq/users/login
2015-01-30 12:20:51 Debug: Here: /voiq/users/login, coming from: http://localhost/voiq/users/login
2015-01-30 12:20:58 Debug: Here: /voiq/users/login, coming from: http://localhost/voiq/users/login
2015-01-30 12:20:58 Debug: Here: /voiq/users, coming from: http://localhost/voiq/users/login
2015-01-30 12:21:04 Debug: Here: /voiq/users/login, coming from: http://localhost/voiq/users/login
2015-01-30 12:21:12 Debug: Here: /voiq/users/logout, coming from: http://localhost/voiq/users/login
